자치구,행정동_x,행정동_코드,월평균_총생활인구수,연령대0_평균,연령대10_평균,연령대20_평균,연령대30_평균,연령대40_평균,연령대50_평균,연령대60_평균,연령대70이상_평균,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인 이상 가구,연령대_100,연령대_0_거주인구수,연령대_10_거주인구수,연령대_20_거주인구수,연령대_30_거주인구수,연령대_40_거주인구수,연령대_50_거주인구수,연령대_60_거주인구수,연령대_70_거주인구수,연령대_80_거주인구수,연령대_90_거주인구수,행정동,유흥주점영업,단란주점,제과점영업,집단급식소,일반음식점,휴게음식점
성북구,장위1동,11290760,14004020.688208334,1021649.4892583332,1435706.8992333335,1772404.8957083337,1887692.88985,2117815.6911416664,2261403.978175,1762778.8337833332,1744567.9902333335,2487,2286,1676,1230,300,58,19,4.083333333333333,1560.25,1736.6666666666667,3080.333333333333,3045.083333333333,3364.833333333333,3853.9166666666665,3107.333333333333,1595.25,683.5,80.58333333333333,장위1동,0.0,36.0,51.0,96.0,2338.0,522.0
성북구,장위2동,11290770,8912788.609491667,517013.5258416667,721659.0373333334,1209059.1497833333,1148837.9386166667,1302196.5817166667,1432445.4499833332,1216899.960825,1364676.9655,2030,1720,1150,720,196,44,10,6.333333333333333,530.75,793.0833333333334,1801.1666666666667,1621.0833333333333,1743.3333333333333,2197.75,2049.333333333333,1281.8333333333333,536.25,68.0,장위2동,0.0,81.0,24.0,119.0,1708.0,148.0
성북구,장위3동,11290780,5211359.6956,357348.5711166667,487961.771225,690876.29505,775742.21295,841256.0963583334,779658.1479666666,659662.419475,618854.1833,1839,1745,1582,1259,274,49,11,5.916666666666667,1577.1666666666667,1236.4166666666667,1888.3333333333333,2366.4166666666665,2418.9166666666665,2334.333333333333,1799.0,868.4166666666666,320.4166666666667,34.416666666666664,장위3동,0.0,12.0,27.0,87.0,653.0,75.0
성북구,석관동,11290810,21027404.446466666,1426191.0943083337,1661954.2865083332,3041392.1868083333,2850945.067525,3189298.4592833333,3201402.4595583337,2651409.86545,3004811.0355166667,5492,4233,3137,1986,454,98,19,4.75,1776.5833333333333,1972.6666666666667,4723.416666666667,4505.583333333333,4636.916666666667,5405.333333333333,5012.333333333333,2960.6666666666665,1197.25,125.5,석관동,0.0,24.0,65.0,186.0,3875.0,760.0
강북구,삼양동,11305534,17557773.16745,1243422.7502083334,1677948.7927833332,2020355.7675083333,2236533.088525,2634242.535258333,2727893.545525,2184356.312958333,2833020.3647916666,3023,2891,1998,1447,363,81,22,8.833333333333334,1121.25,1746.0833333333333,2846.333333333333,2658.6666666666665,3224.1666666666665,3964.1666666666665,3491.833333333333,2026.6666666666667,798.4166666666666,110.08333333333331,삼양동,0.0,60.0,51.0,202.0,1670.0,496.0
강북구,미아동,11305535,16360900.894966668,642521.3343583333,1117360.9639583337,2680802.87925,2092316.6152,2268266.0443166667,2790636.7423166665,2218418.1622416666,2550578.164733333,4807,2685,1675,1052,239,48,16,2.4166666666666665,666.25,1186.4166666666667,3453.75,2622.833333333333,2726.1666666666665,3444.333333333333,3123.333333333333,1881.4166666666667,801.3333333333334,87.33333333333333,미아동,168.0,102.0,259.0,229.0,5262.0,1283.0
강북구,송중동,11305545,25413059.23215,1509606.915383333,2086506.7018416664,3495818.184433333,3371348.991958333,3826707.6927,4138145.231991667,3176263.2021333333,3808662.318625,4548,3369,2499,1713,415,83,20,9.0,1356.0,1821.3333333333333,3866.25,3665.8333333333335,4082.9166666666665,4700.666666666667,4269.5,2508.4166666666665,955.0,106.91666666666669,송중동,60.0,156.0,58.0,179.0,5299.0,1117.0
강북구,송천동,11305555,19603596.262725,1241531.1071833333,1705098.7166166666,2146318.659458333,2410186.847866667,3034617.798158333,3278938.4163416666,2561517.748991667,3225386.977075,4508,3338,2202,1465,343,67,11,11.666666666666666,920.5,1438.6666666666667,3238.083333333333,2909.5,3447.25,4528.666666666667,4280.666666666667,2619.6666666666665,1044.1666666666667,119.25,송천동,12.0,48.0,24.0,120.0,4304.0,533.0
강북구,삼각산동,11305575,17032208.963108335,1960187.53655,2261270.399308333,1460290.6855499998,2007769.8118583332,3223450.3123583333,2348978.90685,1666216.1756666666,2104045.128891667,2021,2663,2948,2741,530,102,30,7.666666666666667,2619.5,3606.0,3049.583333333333,3367.1666666666665,5804.416666666667,4607.916666666667,3122.333333333333,1823.75,764.8333333333334,88.41666666666667,삼각산동,0.0,12.0,24.0,80.0,1513.0,365.0
강북구,번1동,11305595,13559555.014441667,529200.4945916667,854455.7508916667,2328421.570766667,1965182.6578916667,2152787.900875,2167187.633125,1627155.768775,1935163.241875,4380,2375,1368,885,198,37,5,2.083333333333333,585.9166666666666,957.0833333333334,2913.6666666666665,2467.1666666666665,2575.4166666666665,2830.4166666666665,2459.583333333333,1586.8333333333333,598.0833333333334,68.5,번1동,60.0,276.0,77.0,130.0,4055.0,828.0
강북구,번2동,11305603,10213840.274033332,648652.8314083334,844358.65435,1273487.232366667,1210907.2551083334,1474398.8866833334,1592131.2135333333,1381525.4637583334,1788378.7488666668,2250,2237,1408,833,201,51,6,2.083333333333333,582.25,943.1666666666666,2003.75,1594.4166666666667,2113.0,2491.0,2463.583333333333,1802.0,659.8333333333334,70.33333333333333,번2동,0.0,0.0,42.0,117.0,740.0,280.0
강북구,번3동,11305608,11601590.917833334,860285.9049166666,1026913.6850166668,1192429.180025,1260357.951125,1784667.6882333334,1801215.4846750002,1556852.1941,2118868.8129666667,2002,2295,1529,1023,250,32,11,3.9166666666666665,828.8333333333334,1173.0833333333333,1710.9166666666667,1533.8333333333333,2310.1666666666665,2556.4166666666665,2474.5,2260.333333333333,754.4166666666666,77.16666666666667,번3동,0.0,0.0,36.0,95.0,865.0,305.0
강북구,수유1동,11305615,13798076.529575,804308.1767916667,1082297.61965,1950491.869225,1712955.5057833332,1892115.6747333333,2228490.7108916664,1850028.8752083331,2277388.110925,3467,2620,1643,1080,282,64,10,9.25,887.6666666666666,1197.9166666666667,2768.75,2526.583333333333,2668.1666666666665,3243.9166666666665,3099.9166666666665,1798.1666666666667,790.4166666666666,99.75,수유1동,78.0,66.0,96.0,221.0,3155.0,604.0
강북구,수유2동,11305625,14356848.090708332,977297.2591666668,1154193.5135083334,1730468.4433916667,1721656.6821666667,2100853.116433333,2309750.948016667,1937723.84375,2424904.2797416667,2674,2672,1795,1201,302,59,17,1.6666666666666667,944.4166666666666,1275.4166666666667,2685.0,2307.583333333333,2763.6666666666665,3431.333333333333,3160.6666666666665,1962.0833333333333,938.3333333333334,120.91666666666669,수유2동,0.0,72.0,101.0,134.0,2637.0,498.0
강북구,수유3동,11305635,20154806.863225,832956.8443916667,1144501.6439,3836680.367891667,2949726.849533333,3032357.0275916667,3245860.745675,2448832.396008333,2663890.9799666665,5632,2811,1728,1012,256,49,12,3.9166666666666665,711.6666666666666,997.0833333333334,3829.1666666666665,3069.6666666666665,2952.5,3642.1666666666665,3202.4166666666665,1955.9166666666667,801.8333333333334,88.16666666666667,수유3동,435.0,608.0,83.0,102.0,7849.0,895.0
강북구,우이동,11305645,13736397.9767,821950.166675,1031561.4066333332,1807418.2251666663,1749139.574275,1980621.333775,2172828.085808333,1841489.4570916668,2331389.7325583333,2436,2586,1749,1159,279,62,15,8.833333333333334,961.5,1258.25,2378.0,2358.9166666666665,2673.1666666666665,3257.833333333333,3078.75,1961.6666666666667,903.5833333333334,120.91666666666669,우이동,0.0,72.0,45.0,168.0,3357.0,473.0
강북구,인수동,11305660,21384459.45738333,1519931.3523916667,1600809.394675,2722208.9730166667,2703483.922375,3055651.825091667,3397722.7054,2800635.259833333,3584016.02935,3937,3890,2719,1728,390,101,29,7.0,1356.8333333333333,1894.0833333333333,3626.3333333333335,3450.583333333333,3965.6666666666665,4860.5,4676.166666666667,2897.083333333333,1257.8333333333333,172.16666666666666,인수동,51.0,0.0,36.0,206.0,2642.0,615.0
도봉구,창1동,11320511,16463733.167075,1027531.5527416668,1491009.962491667,2068226.319941667,2308335.795208333,2595748.197666667,2580030.7004416664,2093635.3163583332,2299215.324708333,2919,2875,2289,1653,298,53,16,6.416666666666667,1364.1666666666667,1920.1666666666667,2995.333333333333,3047.1666666666665,3647.5,3852.8333333333335,3240.75,1804.25,869.1666666666666,109.33333333333331,창1동,0.0,72.0,66.0,129.0,1725.0,552.0
도봉구,창2동,11320512,21299375.969525,1511553.8238583335,1748677.5898666668,2801557.6283833333,3122586.4751,3213254.7279,3342565.5209583337,2670167.014558333,2889013.1900583333,2889,3391,2661,1935,429,88,25,3.25,1549.3333333333333,2014.1666666666667,3772.8333333333335,3670.8333333333335,4112.083333333333,4680.916666666667,3894.9166666666665,2122.5,911.0833333333334,98.91666666666669,창2동,0.0,18.0,72.0,200.0,1766.0,514.0
