행정동코드,연도,월,연령대_I00,연령대_0_거주인구수,연령대_10_거주인구수,연령대_20_거주인구수,연령대_30_거주인구수,연령대_40_거주인구수,연령대_50_거주인구수,연령대_60_거주인구수,연령대_70_거주인구수,연령대_80_거주인구수,연령대_90_거주인구수,총생활인구수,연령대0_생활인구,연령대10_생활인구,연령대20_생활인구,연령대30_생활인구,연령대40_생활인구,연령대50_생활인구,연령대60_생활인구,연령대70이상_생활인구
11110570,2021,4,3.0,691.0,996.0,915.0,947.0,1445.0,1400.0,1010.0,596.0,301.0,43.0,5119356.215,381761.1009,613762.7794,639818.1096,610988.9797,771898.5118,751333.9295,601149.9938,748642.7874
11110570,2021,5,3.0,686.0,995.0,915.0,939.0,1429.0,1408.0,1013.0,594.0,303.0,44.0,5278966.3757,389872.3475,619513.8482,641597.0877,644146.8332999999,789513.5297,797475.8644,633399.9228,763446.9539
11110570,2021,6,3.0,687.0,992.0,921.0,921.0,1428.0,1407.0,1019.0,587.0,309.0,44.0,5209838.284,395524.8917,621436.4162,649674.3454,613182.0569,774630.07,774633.7459,645930.5076,734826.2528
11110570,2021,7,4.0,675.0,994.0,901.0,916.0,1421.0,1396.0,1027.0,586.0,314.0,41.0,5315856.6497,408319.3534,610943.6021,671872.3535,629310.7721,809746.6659,801673.4394,650711.4978,733278.9562
11110570,2021,8,4.0,669.0,990.0,909.0,918.0,1417.0,1411.0,1031.0,589.0,318.0,42.0,5133849.4431,386898.8258,592770.9712,661862.7416,612997.2157000001,784735.1239,762710.1209,628299.2159,703575.2143
11110570,2021,9,4.0,673.0,983.0,900.0,914.0,1422.0,1407.0,1043.0,587.0,321.0,41.0,4842759.5559,350577.533,563526.6161,624706.6913,567712.3983,746138.2692,713687.46,604938.2206,671472.3412
11110570,2021,10,4.0,659.0,991.0,907.0,906.0,1422.0,1424.0,1047.0,586.0,325.0,41.0,4977717.4751,368664.1849,577687.078,628267.4343,599895.202,767984.1685,733772.4552,615965.7359,685481.1968
11110570,2021,11,4.0,652.0,990.0,904.0,903.0,1413.0,1429.0,1045.0,585.0,327.0,40.0,4671747.2138,368947.0421,544485.1907,554313.5602,545951.5984,718923.394,702455.0913,595384.6964,641286.6463
11110570,2021,12,3.0,645.0,976.0,907.0,903.0,1389.0,1433.0,1040.0,592.0,331.0,40.0,4751061.1555,368216.3653,542085.9366,550132.1877,562278.0326,747943.8337,721281.9974,613973.8074,645148.9948
11110580,2021,1,15.0,845.0,849.0,1264.0,1704.0,1835.0,1625.0,1158.0,747.0,332.0,54.0,4728627.5978,407600.7576,436393.1809,566040.9617,688998.0714,854542.3152,686428.0595,505163.5808,583460.6707
11110580,2021,2,12.0,843.0,850.0,1252.0,1695.0,1823.0,1619.0,1174.0,738.0,336.0,53.0,4192452.4944,362024.5997,383623.8656,503818.9508,626950.2979,751787.8538,626795.0021,451937.4365,485514.5113
11110580,2021,4,1.0,836.0,822.0,1253.0,1661.0,1808.0,1584.0,1170.0,718.0,323.0,44.0,4504696.717,379919.7219,419597.2303,532155.8844,679028.8179,813921.4152,669978.6836,479241.251,530853.7186
11110580,2021,5,1.0,827.0,819.0,1246.0,1630.0,1804.0,1592.0,1168.0,721.0,326.0,44.0,4635845.4501,398780.3826,428023.3061,554583.9619,691067.9711,830553.2334,699869.2916,490172.1796,542795.1448
11110580,2021,6,1.0,839.0,821.0,1244.0,1608.0,1808.0,1573.0,1175.0,723.0,332.0,43.0,4608721.8229,398696.9911,447353.8648,546951.2442,679366.6557,830987.8178,688217.6991,481385.9824,535761.5735
11110580,2021,7,2.0,842.0,809.0,1231.0,1605.0,1797.0,1561.0,1180.0,723.0,331.0,41.0,5169369.5081,407457.8796,482784.4388,629227.1565,804734.2922,969483.7782,788088.3805,534758.1055,552835.4531
11110580,2021,8,2.0,838.0,806.0,1223.0,1609.0,1781.0,1563.0,1185.0,724.0,333.0,43.0,6004944.5622,486023.6019,563672.4836,726220.4833,935395.7518,1134470.5137,912324.4869,605885.2532,640951.9757
11110580,2021,9,2.0,838.0,792.0,1227.0,1598.0,1779.0,1567.0,1176.0,720.0,330.0,42.0,6023605.4961,513706.9224,580967.1613,709602.8033,914966.5287,1145760.296,905416.5775,590782.9009,662402.3198
11110580,2021,10,2.0,837.0,792.0,1218.0,1579.0,1802.0,1577.0,1178.0,724.0,337.0,42.0,6265974.432,551543.6317,612717.9529,743129.9623,959561.4082,1181806.3448,927647.7889,601771.8588,687795.4793
11110580,2021,11,4.0,830.0,789.0,1209.0,1577.0,1796.0,1585.0,1176.0,724.0,338.0,41.0,5787957.3517,501092.8336,560518.8209,679819.0168,908387.6284,1111603.4508,851811.0436,548071.6582,626652.9064
11110580,2021,12,3.0,829.0,785.0,1205.0,1576.0,1778.0,1590.0,1180.0,720.0,341.0,39.0,5749193.1491,521773.5008,564210.488,691218.0384,858648.8046,1093891.6975,840377.2158,552752.6571,626320.7615
