년도,행정동코드,총생활인구수,연령대0_생활인구,연령대10_생활인구,연령대20_생활인구,연령대30_생활인구,연령대40_생활인구,연령대50_생활인구,연령대60_생활인구,연령대70이상_생활인구
2021,11500604,132354786.567,4911320.9367,6349829.1918,14808096.5559,23961506.3243,17498271.917,19756045.158,21152231.9318,23917484.2788
2021,11500605,96253315.7674,3990420.7403,3941250.2697,11001622.942,21579500.1879,15327252.9379,14263103.162,12309464.6291,13840700.8554
2021,11500611,310591098.795,35770897.5549,46125957.1028,35737318.1859,40483763.3149,55323427.3953,42075311.057,27886764.4805,27187659.6871
2021,11500615,308085368.8399,27526075.606,38337405.7502,40401603.6937,45664362.4275,55175172.559,40475504.0975,31879000.8121,28626243.9068
2021,11500620,301165897.092,34068620.6227,20582023.7125,41910782.4693,57467591.6202,51162504.8989,40599506.895,28980764.6053,26394102.4481
2021,11500630,290465173.8959,32498309.8726,27212026.2773,31019318.3297,48858112.9772,48454589.4799,40130052.6546,33256855.5028,29035908.7885
2021,11500640,220196880.0342,12252948.8024,13797360.7297,29940597.257,38174315.2355,34071432.8344,35607272.4004,27724869.1794,28628083.6043
2021,11500641,153154286.91,11610728.1953,12051990.3424,14809411.1661,26687228.328,24110871.6032,22661464.0001,19951222.4915,21271370.9259
2021,11530510,289191712.6527,28645143.3141,25602340.0943,36274817.3771,54195723.2958,53078681.1402,39644978.5597,28812560.2495,22937468.3992
2021,11530520,150728406.9237,18949933.3916,16496816.9523,16453279.8567,25248615.5534,25365252.8468,20221798.5193,16156596.5787,11836113.2422
2021,11530530,291014811.1114,11516465.1936,14630185.1926,36381094.3178,49169074.6705,54386983.2824,53207326.7051,38445488.8057,33278192.9677
2021,11530540,342674424.5194,10427934.8252,11021751.1166,67457945.6988,87157900.9396,72690126.7037,46175537.5035,26882422.7607,20860805.0713
2021,11530550,150122259.61,7616197.7183,8208935.3718,16722977.2579,24856498.5065,26090745.2578,26850596.7824,20073891.7095,19702416.9675
2021,11530560,275061669.3917,13817388.164,13197537.5781,45520730.558,57318094.4938,47226595.8878,43064705.1729,29999654.2059,24916963.319
2021,11530595,98770318.0841,1558746.8604,2353390.0526,17781076.7194,21429790.1856,17728307.6894,17801298.3939,11268617.4019,8849090.7681
2021,11530720,194719196.5455,15357238.9783,20453114.3593,26146780.3545,25338969.7427,30600470.4259,31650125.409,23900188.356,21272308.9642
2021,11530730,159483088.0136,15696010.5463,16603868.3959,18170390.6774,19722295.5387,25325757.7218,23980633.4241,19695740.5861,20288391.0568
2021,11530740,253531195.8938,19066661.8882,21310128.3334,29964883.6187,36985231.553,38580525.6434,40122857.2121,33090291.562,34410616.1135
2021,11530750,214875128.1334,19351272.4186,17598167.7904,24844599.0937,32911667.2869,32783127.6532,30661562.9972,28440767.2013,28283963.6238
2021,11530760,139863849.3717,13630626.4822,12259002.0188,15254175.7432,18939370.787,20867114.4113,20313048.4961,19359336.7743,19241174.5933
2021,11530770,133968991.2047,8111312.3642,9696086.9707,21443945.1104,23500021.8867,19378016.4014,19188928.6674,15634194.7657,17016485.0523
2021,11530780,455164544.3318,55132239.3462,42863529.2621,47936132.5598,74460489.3266,75115873.47839999,59272520.1387,47396560.6991,52987199.370900005
2021,11530790,200949213.2409,15123108.2187,22643502.8956,23474802.4236,28970193.1333,33419098.9623,30148507.0206,24713696.9309,22456303.6402
2021,11545510,507954395.4414,9441084.8464,12160972.5384,116009598.4305,135866897.45769998,104364149.0085,73665530.73359999,36551504.2931,19894657.7402
2021,11545610,304523063.0707,19232213.1078,14270552.8003,50109099.7033,63768676.5927,50645525.9069,46931113.6975,32230754.4465,27335127.0398
2021,11545620,127078406.2024,5778029.2275,7246112.8429,17946213.725,22356966.7778,19318952.608,22109868.4789,16937883.8118,15384378.682
2021,11545630,182929563.8538,7873375.3307,9763763.9275,27203026.1757,32914740.2705,28531711.3637,33116736.1566,24731046.3556,18795164.3743
2021,11545640,101230276.6581,3937881.4424,5842119.8354,14492120.6992,17395101.1778,15933966.0084,18631865.1365,13626607.208,11370614.991
2021,11545670,248088812.445,16042049.1409,18322878.9781,31770609.8324,39158051.4633,39894691.8966,41485837.3952,31472550.7209,29942143.0403
2021,11545680,141738706.0126,14492353.2558,17057192.6219,12589636.1041,16723895.6367,23023231.3735,20309107.2796,19089355.3524,18453934.4652
2021,11545690,87886250.7942,5410464.2998,7300960.5977,9557065.0885,13305028.3725,14272501.5682,15566931.8116,12864062.1998,9609236.9396
2021,11545700,108185658.6418,7592364.797499999,9015492.3399,12983805.9901,15083403.7952,15628032.9749,17858582.927699998,14591449.3148,15432526.5981
2021,11545710,105828978.7941,6960564.2351,9449952.7831,12593814.2404,13976894.6479,15862847.7473,17008021.7669,14261148.5831,15715734.8016
2021,11560515,166088493.6977,10184470.9156,10279677.8506,25977358.0432,29968006.3374,24917204.8337,26884676.884,19353979.0842,18523119.7245
2021,11560535,436198808.0908,20791372.6816,18994102.0531,92454256.2365,103693244.2928,70475570.3276,58062451.9713,40221418.9238,31506391.6676
2021,11560540,743887445.122,29651034.3458,34824288.8942,116935979.9131,185930617.4227,163824118.8204,102665142.417,55864646.7412,54191616.4576
2021,11560550,203181840.3071,10367186.2942,9489757.2731,32985079.1115,43681214.5006,34255312.1229,31667534.9273,21955560.1498,18780195.9495
2021,11560560,323612125.1815,22424915.6324,20118355.5447,61652482.9579,71600929.5012,51332549.8424,41150546.6767,28033493.2155,27298851.5418
2021,11560585,124171887.8999,7988535.5253,7420656.452,16694935.8792,23122603.2029,19568250.6063,20260970.6164,15329179.3015,13786756.2255
2021,11560605,353784335.9229,25679033.8938,25093941.1776,44255794.0918,71357524.3561,69054039.8948,50110822.6112,35466908.3894,32766271.5491
2021,11560610,168390847.4941,11660859.6869,10402446.4336,25314805.3712,39217836.8921,30495095.9665,22104853.8503,14479241.0304,14715708.3679
2021,11560620,252033120.938,15208677.9283,17363100.9092,39915920.2555,58936873.2453,45566868.7446,35478835.605000004,22457167.9307,17105676.3916
2021,11560630,154351230.4667,7162050.464,9797937.8808,26493717.4843,27267900.5673,23420993.8637,22902043.4346,18265180.4024,19041406.3215
2021,11560650,118303655.4596,8189471.3747,9364014.4596,14473744.7836,18809054.1763,18153390.2938,20535309.4226,15304553.6391,13474117.2536
2021,11560660,67518436.9554,3307933.815,4934776.2139,8439872.5624,10989922.9976,11041784.5762,11280975.7655,9050705.7776,8472465.2782
2021,11560670,60087470.5832,3465867.3441,4813841.1546,6539574.8317,10161196.9026,10012075.354,10007939.3926,8080923.002499999,7006052.635
2021,11560680,195481052.8826,16902826.8565,17295222.3255,25384101.8123,34273539.8378,32055890.0933,29352221.5026,21156025.2057,19061225.4011
2021,11560690,125095650.3065,11994061.8964,12509881.1067,17006191.972,20125496.7222,20385894.4664,17999484.357499998,12754241.3487,12320398.4213
2021,11560700,153833717.4608,7917088.8403,9792939.8204,18342866.2201,26050770.4439,24861598.6822,26625061.6422,19826757.0939,20416634.6841
2021,11560710,149525796.929,4219105.3319,5374271.4163,19585503.993,27976309.2217,26417926.5375,29790986.7288,20932883.3151,15228810.2896
2021,11560720,218173172.9241,11038132.5035,12786899.0505,28155905.7301,37121975.0064,35942760.503,40586869.7951,29967056.2524,22573574.1772
2021,11590510,314250696.9173,13549137.2435,18998793.1024,88390893.1288,61190778.3322,40805453.7919,35520500.1343,27025365.8488,28769775.1586
2021,11590520,157279431.8935,3690570.5467,9531051.627,33591091.523,26746234.873,21906508.4553,24431308.0899,18381591.3531,19001075.3096
2021,11590530,393588241.5152,30177556.9311,32739345.7373,85233361.3594,56342088.275,54498836.5519,48985886.6299,40795586.5719,44815579.3877
2021,11590540,196451115.1282,17053721.3534,14360477.3433,30060378.846100003,31760661.3873,30926060.5635,27135206.6826,21281961.2744,23872647.7202
2021,11590550,161154326.9677,12120499.8495,12211140.2409,24726594.3463,27763497.1548,24272844.7022,22027004.9407,17863642.44,20169103.393
2021,11590560,206695298.9925,18590874.4834,17363616.1793,27614692.576,34426897.2012,31092444.1768,27932332.7242,23648888.4273,26025553.4579
2021,11590605,271543711.4999,19561766.2738,20843786.7577,57530765.2023,38092596.369,38858801.2163,36122956.1191,28812867.0285,31720172.532
2021,11590620,222766597.4065,11259047.614,11956825.8141,43257718.133,44882372.0782,32615292.0495,30140556.3175,25833594.4283,22821190.8352
2021,11590630,274234882.5279,23862790.8099,21261003.7788,34538390.6184,42118422.5118,42469496.9477,40625175.0694,34540536.6421,34819066.0091
2021,11590640,172633320.0214,14092682.5699,13928015.9579,20899093.1735,28293232.6415,26556704.3628,23918571.569,21899899.0413,23045120.6722
2021,11590650,115501399.872,8526416.3026,7494706.3809,18185380.3108,20367157.2769,18090637.0365,15407269.5323,13869538.3776,13560294.663
2021,11590651,95848908.6199,7130509.2229,7708105.3839,13373919.8911,17031590.6869,15727533.299,13189413.3965,10909278.3681,10778558.2894
2021,11590660,365969784.592,21521460.0292,41899362.5022,60037439.2758,56511732.6441,60936682.2988,51255595.1769,35471301.3644,38336211.3724
2021,11590670,145968505.07479998,10460869.3231,14809850.6432,19807613.5105,21165916.4369,24174998.6902,23328249.8371,16699321.5424,15521685.0719
2021,11590680,212402468.3701,14422044.3902,16346860.1536,32677392.0776,37876513.1649,36919397.3874,28514354.3582,21261061.6269,24384845.3065
2021,11620525,162070804.5195,9575513.9374,10606881.3109,30074546.6834,30476432.876,24873834.8034,20521469.2382,16515636.3196,19426489.3004
2021,11620545,89328818.3769,8519523.2498,7427887.830800001,10242283.3878,14552841.723,14955461.6805,11699759.1044,10085923.7146,11845137.7035
2021,11620565,216195216.1101,18959870.7132,23706756.3892,25978975.4966,30004319.1312,36995232.6277,29533313.9378,23105735.128,27911012.5991
2021,11620575,210616804.4816,11627984.1969,12133340.9969,49670938.8057,44195526.909,28498573.3114,23716418.2605,19136806.744,21637215.2833
2021,11620585,208675430.8701,8576517.7312,19232590.6065,64408134.7301,42034728.0573,25685303.6679,20146888.5066,13440784.8282,15150482.8105
2021,11620595,336197013.4491,10331712.5029,20630819.1591,101153613.8127,64166499.1141,41275127.4705,37534123.9366,29725303.5803,31379813.7095
2021,11620605,242116911.6744,16059026.3869,18559027.2104,39513397.6121,42027308.9371,38732660.9174,31956626.7408,26954120.9567,28314742.9362
2021,11620615,151211441.0582,6686485.8567,9756769.3049,37217887.4456,29584604.94,19955878.5806,18125205.9163,14211783.395,15672825.7103
2021,11620625,211581580.7479,10818162.4713,15096926.2429,44675694.1806,43375897.1885,30036349.7443,25732099.0885,20374166.1339,21472285.7132
2021,11620630,200188854.5895,13073928.4359,11829856.8142,41316502.3023,35330655.8148,27082416.1826,27401199.4676,22542098.1296,21612197.4718
