행정동코드,연도,월,연령대_I00,연령대_0_거주인구수,연령대_10_거주인구수,연령대_20_거주인구수,연령대_30_거주인구수,연령대_40_거주인구수,연령대_50_거주인구수,연령대_60_거주인구수,연령대_70_거주인구수,연령대_80_거주인구수,연령대_90_거주인구수
11140635,2021,2,9,1078,942,1999,2372,2450,2820,2704,1637,819,151
11140635,2021,4,9,1055,948,1972,2367,2409,2816,2738,1624,822,154
11140635,2021,5,3,1038,941,2002,2392,2399,2794,2701,1591,807,147
11140635,2021,6,3,1034,951,2009,2394,2403,2792,2708,1588,813,148
11140635,2021,7,3,1031,944,2035,2407,2380,2787,2705,1587,814,154
11140635,2021,8,4,1016,934,2037,2374,2386,2779,2705,1587,824,150
11140635,2021,9,4,999,946,2037,2369,2393,2788,2706,1577,826,149
11140635,2021,10,3,987,939,2016,2348,2391,2777,2715,1575,841,149
11140635,2021,11,3,994,936,2004,2343,2394,2770,2723,1576,843,144
11140635,2021,12,3,992,935,1992,2323,2379,2763,2720,1572,851,146
11140645,2021,1,11,763,877,1998,2193,1933,2380,1958,1189,606,86
11140645,2021,2,11,754,873,1981,2166,1924,2357,1974,1196,609,86
11140645,2021,4,9,750,865,1952,2152,1915,2355,1993,1197,620,85
11140645,2021,5,2,740,863,1935,2154,1903,2324,1995,1162,606,82
11140645,2021,6,2,732,862,1923,2155,1896,2300,2011,1163,611,85
11140645,2021,7,2,723,860,1899,2135,1877,2311,2027,1161,615,85
11140645,2021,8,2,714,846,1901,2126,1867,2305,2028,1151,623,85
11140645,2021,9,2,715,842,1883,2121,1856,2314,2029,1148,624,88
11140645,2021,10,2,719,837,1877,2128,1853,2307,2047,1146,624,86
11140645,2021,11,2,717,834,1863,2124,1851,2297,2059,1140,635,85
11140645,2021,12,2,712,836,1852,2129,1831,2306,2069,1134,632,85
11140650,2021,1,12,575,540,1673,1724,1551,1882,1336,844,338,49
11140650,2021,2,12,565,544,1671,1722,1541,1878,1347,836,350,49
11140650,2021,4,6,564,536,1658,1701,1543,1867,1353,840,357,47
11140650,2021,5,3,568,530,1653,1696,1535,1859,1328,825,343,45
11140650,2021,6,3,560,534,1648,1657,1551,1858,1338,823,347,45
11140650,2021,7,3,566,533,1642,1671,1543,1863,1334,827,350,43
11140650,2021,8,3,550,540,1644,1682,1532,1858,1341,816,354,44
11140650,2021,9,3,546,548,1640,1684,1541,1853,1349,814,357,43
11140650,2021,10,2,548,544,1632,1693,1554,1836,1354,819,357,43
11140650,2021,11,2,546,529,1651,1696,1536,1836,1369,817,357,43
11140650,2021,12,2,539,523,1650,1691,1527,1846,1372,810,358,45
11140665,2021,1,14,729,869,1428,1344,1584,1969,1429,788,426,70
11140665,2021,2,14,715,857,1418,1340,1575,1967,1447,789,424,71
11140665,2021,4,13,708,853,1393,1340,1563,1955,1459,772,430,72
11140665,2021,5,9,700,849,1377,1342,1536,1951,1456,749,421,64
11140665,2021,6,9,694,850,1369,1319,1539,1945,1460,750,423,62
11140665,2021,7,9,688,847,1372,1320,1528,1933,1472,746,430,62
11140665,2021,8,9,690,841,1357,1324,1523,1929,1486,748,433,62
11140665,2021,9,9,667,833,1345,1314,1512,1920,1500,744,438,63
11140665,2021,10,9,657,827,1337,1310,1499,1920,1510,752,443,65
11140665,2021,11,9,656,812,1335,1297,1489,1919,1516,749,448,64
11140665,2021,12,0,650,811,1332,1299,1487,1914,1512,746,450,65
11140670,2021,1,10,737,524,2066,2808,1825,1784,1530,906,337,57
11140670,2021,2,10,736,522,2082,2794,1835,1773,1545,906,341,59
11140670,2021,4,4,729,518,2091,2781,1842,1763,1577,910,338,60
