년도,월,행정동코드,총생활인구수,연령대0,연령대10,연령대20,연령대30,연령대40,연령대50,연령대60,연령대70이상
2021,04,11380690,45042389.7345,4664274.9212,6246426.8445,4818766.4159,5846157.5169,7882565.7621,6098932.3473,4654343.1155,4830922.7924
2021,04,11410520,13071020.0478,972482.7657,1314470.2067,1580322.3342,1870258.2125,2186704.4026,2045752.0895,1398516.8166,1702513.1557
2021,04,11410555,27847914.7155,1974715.1608,1707266.9094,4274519.964,5874707.9289,5413840.7858,4064282.2771,2416416.6704,2122164.9862
2021,04,11410565,27604730.6791,990590.8419,2276832.7915,4726866.1343,5596813.2248,5261712.2271,4087698.8821,2338768.5287,2325448.0303
2021,04,11410585,35225315.8479,883699.1288,2533079.354,13220531.3029,6090831.5787,4149092.6178,3691510.7959,2332414.7307,2324156.3447
2021,04,11410615,27764592.2302,1403888.757,2150708.4496,6209562.7759,4725505.2064,4273492.8492,3701249.3245,2508943.6472,2791241.1623
2021,04,11410620,17001552.7915,1230510.0621,1726759.7314,2146219.1256999997,2224710.9631,2504756.6598,2668117.3603,2080521.117,2419957.7871
2021,04,11410640,11921157.396399999,856180.5984,1147976.3269,1364819.1604,1457278.4506,1680442.478,1897687.6075,1535146.9409999999,1981625.8562
2021,04,11410655,6891342.5013,558278.1162,636247.4301,788777.6314,922915.163,1073499.6786,1126718.8174,870792.8087,914112.8726
2021,04,11410660,10389381.0729,671470.2784,971301.4261,1262434.4461,1401474.7067,1537427.987,1692434.8008,1364369.3492,1488468.0683
2021,04,11410685,19290088.3007,1179471.314,2041162.2812,2878432.3065,2620611.8416999998,2926830.5516,2928555.7002,2226884.3776,2488139.9616
2021,04,11410690,11023081.9348,1835047.462,1023904.7067,1043919.6985,1640115.9779,2007830.4538,1387797.0552,999703.3797,1084763.198
2021,04,11410700,13261569.371,792912.4144,1296671.2246,2521805.604,1996450.1831,2021843.0225,1854592.4043999999,1302416.8334,1474877.6902
2021,04,11410710,10191999.1662,1077292.6648,1229233.4559,1040617.4538,1358923.6040999999,1762377.9272,1459582.7763,1044394.7544,1219576.547
2021,04,11410720,26331316.8184,1829758.0797000001,2455354.4666,3663001.0555000002,4063424.8161,4189679.1464,3785464.0213,2943302.9542,3401332.2376
2021,04,11440555,19576966.0157,2108045.4334,1372013.5045,2503489.7842,4018129.0317,3491679.9242000002,2733682.0824,1877005.9491,1472920.2824
2021,04,11440565,27072097.5028,1682812.8794,1845216.2722,4074550.8517,5375337.4293,4701347.3865,4206268.3613,2748986.8997,2437577.3685
2021,04,11440585,15834535.1954,1063218.1107,1063926.9634,2099601.2067,3064691.0995,2751657.5994,2416472.5578,1730040.7099,1644926.9504
2021,04,11440590,20423052.9366,2146872.3802,1654586.0253,2225939.0598999998,3731228.4766,4079515.0857,2824625.9131,1865968.5798,1894317.4309
2021,04,11440600,14826026.2458,547976.0746,1415056.9679,4355986.8911,2333205.6061,2144757.1379,1722037.0852,1139907.6509,1167098.8662
2021,04,11440610,9822271.6613,731369.2751,1176174.5262,1530112.9193,1711934.1948,1811247.1804,1268946.0456,807231.1901,785256.2961
2021,04,11440630,13746070.3603,1010485.8957,1315126.6744,2216775.5803,2299233.9441,2317016.7854,1910850.1405,1257756.5456,1418824.7799
2021,04,11440655,19967855.0822,1185668.4641,1673832.6451,4699983.9943,3638809.8949,3086612.8766,2393302.2665999997,1587155.5642,1702489.3588999999
2021,04,11440660,45647728.025,900539.2502,2996142.9575,14335103.863499999,10114546.9763,7007508.3588,4647022.7643,2734527.5875,2912336.2589
2021,04,11440680,16158908.7822,690671.778,717094.8205,3608165.028,3868905.9249,2662245.7692,1971447.7148,1371763.9025,1268613.8063
2021,04,11440690,13828337.5958,726284.4167,891705.9064,2488586.3892,3013515.3411,2327121.0351,1693689.2454,1213870.7772,1473564.4972
2021,04,11440700,12645040.9399,789522.4709,1050179.4799,1925491.7698,2300567.2378,2299609.5069,1772158.4797,1151583.1291,1355928.8709
2021,04,11440710,14637691.4874,561385.8262,947295.2643,3613841.8354,3233908.362,2363840.9646,1526263.439,1116590.9842,1274564.8173
2021,04,11440720,15695296.4023,936869.405,1372019.0569,2582201.1811,3054715.3533,2946497.4227,2025371.1415,1371180.2208,1406442.5863
2021,04,11440730,25417432.416,1610484.8985,2262351.4277,3740975.6425,4466309.8271,4566333.8026,3522863.9951,2447258.0903,2800854.7078
2021,04,11440740,34553825.9187,2327082.5656,3091890.5422,5490999.281,6976341.7965,7368864.1443,4455105.0133,2584347.7615,2259194.8232
2021,04,11470510,32663969.7403,2644319.3284,5375936.2254,3844599.0899,4357953.1708,6648867.1527,4703133.2907,2787159.847,2302001.6564
2021,04,11470520,16525595.2941,1206804.0749,1608644.0932,2433251.6358,2986582.1187,2540757.8842,2428631.3303,1791231.9775999999,1529692.1077999999
2021,04,11470530,14967834.5027,1128132.6033,1257674.5084,2042353.2534999999,2683215.727,2318041.1891,2198005.3997,1733065.178,1607346.6146
2021,04,11470540,13040946.3134,1125731.9241,2143188.9008,1598067.4612,1548606.366,2205839.476,1977627.2811,1246902.9957,1194981.9274
2021,04,11470550,30142535.9903,3049666.9196,6634321.7952,2667576.3087,2968688.4104999998,5848690.1878,3985819.5874,2593240.0859,2394532.6481
2021,04,11470560,10794342.6085,712449.5758,721598.2354,1210883.2996,1609730.9721,1637738.1142,1750602.2188,1576153.6805,1575186.4762
2021,04,11470570,10967638.8645,1066234.6971,1013785.6955,1263286.5012,1698012.4293,1672246.9955,1532491.3306,1394132.9379,1327448.2677
2021,04,11470580,9567676.0384,704730.8027,825594.4578,1100436.4019,1311908.7263,1404003.1637,1638596.2343,1337363.9428,1245042.3559
2021,04,11470590,8870406.0498,1031232.2606,869524.0467,904446.2641,1266170.707,1420176.7456,1253045.1841,1105433.4095,1020377.4279
2021,04,11470600,8094173.6924,841618.9271,884311.3136,955994.1061,1124211.6382,1208707.4618,1192541.8404,990266.4178,896521.9804
2021,04,11470610,3887578.1141,252621.5149,408738.4362,425891.2802,614670.0771,616144.9516,619707.4235,505542.183,444262.2625
2021,04,11470611,11538553.5252,1003117.5377,1026603.9601,1208173.125,1525709.72,1829920.4809,1796323.0685,1566381.5828,1582324.0418
2021,04,11470620,13388270.6356,1191837.3462,2160604.2578,1407861.2938,1539538.7759,2479130.6808,2038759.9734999998,1327506.0826,1243032.1972
2021,04,11470630,10067380.4516,853988.9781,1792271.4124,1060606.9365,1075690.686,1764470.042,1544110.72,1011254.6904,964987.022
2021,04,11470640,28506580.3593,2869372.6756,3598880.8997,2969260.9162,3714897.7518,4594207.2974,4245972.2163,3288905.8234,3225082.7649
2021,04,11470650,23647418.037299998,2016654.947,2315049.516,3172838.1239,3569790.8171,3821307.5382,3480243.3592,2596728.3923,2674805.3382
2021,04,11470670,13792347.0946,1361782.7513,2486058.2291,1296820.962,1571480.8696,2594836.8263,2032443.7244,1287394.4902,1161529.2967
2021,04,11470680,17548119.3323,1599715.8519,2557266.3401,1718450.9277,1974272.4144,3024172.2109,2585238.474,1977904.5195,2111098.6023
2021,04,11500510,23165773.2321,2102731.5169,2166040.4998,2846991.6783,4740750.2913,4376949.7665,2916768.5578,2254660.4052999998,1760880.5011
2021,04,11500520,15957303.3237,1034554.9457,1061314.8603,2643781.5749,3735024.9993,2447116.2214,2007186.0226,1524998.5653,1503326.159
2021,04,11500530,11399686.5707,1030478.7138,1188526.4209,1463107.5698,1911567.6047,1704125.1358999999,1559235.0175,1331491.836,1211154.2822
2021,04,11500535,25738273.2495,1336237.2352,2300970.679,3837634.0161,4444349.6944,3930204.0583,3592502.119,3017377.1906,3278998.2277
2021,04,11500540,36800783.7439,2358071.5475,2032846.6201,6026579.5616,7165125.4712,5586610.9044,4956800.6159,4326299.7872,4348449.244
2021,04,11500550,9506006.7555,852008.7263,817237.9119,1182346.6383,1574607.03,1610486.8484,1254097.5941,1068819.9407,1146402.067
2021,04,11500560,12783560.7275,984334.8215,1236706.9305,1638311.5896,1954374.8647,1903113.5063,1762224.7397,1723823.1962,1580671.1067
2021,04,11500570,12527733.2819,1174655.2273,1098174.5529,1435542.6057,1926485.78,2027525.1435,1750601.9986999999,1464734.3756,1650013.595
2021,04,11500590,20697590.4242,1706547.1232,1521697.1063,3132258.291,3815882.1632,3250038.8831,2604680.363,2362532.4104999998,2303954.1361
2021,04,11500591,14810134.8973,809501.2052,928191.6926,2409334.961,2699446.3581,2371445.5958,2165664.8718,1809439.596,1617110.6294
2021,04,11500593,19970949.4467,1323351.9616,1434053.4745,2947816.8818,3564260.0889,3246612.5326,2771478.2096,2307901.321,2375475.0317
2021,04,11500603,32788595.8419,1544120.8402,1969663.0652,6091536.618,7895347.0161,5991942.2144,4341495.9298,2871611.8281,2082878.3936
2021,04,11500604,10296997.8628,360651.1783,532369.4001,1163959.2441,1884884.067,1376223.2025,1525074.1831,1629052.6037,1824783.9968
2021,04,11500605,7290280.2759,329918.928,320548.7482,849511.4702,1648573.0748,1165702.2786,1078337.7517,909085.6783,988602.3403
2021,04,11500611,25076768.3212,2907174.7254,3897432.2233,2853747.8159,3244964.0745,4478910.1587,3369089.6011,2204900.0654,2120549.6546
2021,04,11500615,26434342.5464,2274084.9456,3307786.7229,3526565.6058,3942299.6449,4691277.5331,3491075.5922,2733953.5515,2467298.9772
2021,04,11500620,24688864.171,2741618.5611,1675512.4335,3460976.4748,4816102.6442,4072470.4976,3362137.4604,2380741.8638,2179304.2803
2021,04,11500630,24153478.3824,2674604.3064,2239644.0204,2637088.3895,4072214.0801,4013661.4072,3319327.7596,2774526.9923,2422411.433
2021,04,11500640,18658118.2566,1058758.6646,1181578.6476,2518577.7338,3205433.3291,2882368.2457,3029026.1607,2344209.4254,2438166.026
2021,04,11500641,12531957.9427,958242.2356,997559.1921,1217702.9951,2199265.3714,1980146.7412999999,1872332.4435999999,1623627.0673,1683081.8625
2021,04,11530510,23578774.2068,2320783.2770000002,2036481.0925,3041991.7508,4473017.7272,4277163.2684,3262317.9499,2341628.6207,1825390.4698
2021,04,11530520,12551314.9534,1543845.7248,1362083.3191,1383446.2321,2117924.496,2125857.1056,1682892.8593,1337915.2671,997349.9164
2021,04,11530530,23912203.1109,924964.924,1197976.1057,3031061.3802,4090081.1551,4494711.5738,4280665.0952,3129421.3472,2763321.5672
2021,04,11530540,28865717.0053,843842.6449,865014.2217,5782780.2839,7511183.5279,6176593.7712,3804523.9187,2181072.8416,1700705.7645
2021,04,11530550,11787195.0491,619411.201,643455.2142,1337612.7836,1899160.8325,2094037.4453,2062958.1072,1560463.2417,1570096.3005
2021,04,11530560,22497771.1023,1111951.2637,1109030.2645,3763978.2752,4657614.1936,3883440.7728,3492269.1917,2439917.8575,2039569.291
2021,04,11530595,8003718.901,128390.6727,199515.2536,1454468.3855,1747629.6287,1454620.9734,1383095.888,890611.4981,745386.5913
2021,04,11530720,16554112.5769,1319493.4031,1788725.4346999999,2240332.0454,2163273.2362,2572136.5777,2657729.8575999998,2022609.8682,1789812.162
