행정동_코드,행정동,유흥주점영업,단란주점,제과점영업,집단급식소,일반음식점,휴게음식점
11320680,쌍문3동,12.0,45.0,51.0,120.0,1620.0,396.0
11320681,쌍문4동,0.0,0.0,24.0,133.0,506.0,222.0
11320690,방학1동,0.0,200.0,189.0,281.0,5213.0,1173.0
11320700,방학2동,0.0,21.0,79.0,167.0,1754.0,356.0
11320710,방학3동,0.0,0.0,24.0,150.0,829.0,242.0
11350560,월계1동,0.0,0.0,116.0,141.0,3499.0,1049.0
11350570,월계2동,0.0,0.0,48.0,222.0,1066.0,394.0
11350580,월계3동,0.0,0.0,116.0,180.0,640.0,553.0
11350595,공릉1동,0.0,84.0,156.0,283.0,5047.0,1290.0
11350600,공릉2동,0.0,24.0,129.0,418.0,3483.0,1527.0
11350611,하계1동,0.0,0.0,60.0,252.0,1740.0,827.0
11350612,하계2동,0.0,0.0,12.0,96.0,358.0,95.0
11350619,중계본동,0.0,0.0,84.0,156.0,1878.0,783.0
11350621,중계1동,0.0,0.0,99.0,150.0,964.0,959.0
11350624,중계4동,0.0,0.0,84.0,147.0,2443.0,590.0
11350625,중계2.3동,0.0,0.0,149.0,237.0,1602.0,756.0
11350630,상계1동,0.0,36.0,116.0,300.0,3652.0,1037.0
11350640,상계2동,0.0,204.0,252.0,183.0,6931.0,2046.0
11350665,상계3.4동,0.0,12.0,65.0,189.0,1799.0,436.0
11350670,상계5동,0.0,96.0,90.0,65.0,2466.0,669.0
11350695,상계6.7동,270.0,113.0,141.0,286.0,2637.0,918.0
11350700,상계8동,0.0,0.0,48.0,108.0,538.0,290.0
11350710,상계9동,0.0,0.0,0.0,72.0,540.0,226.0
11350720,상계10동,0.0,12.0,12.0,114.0,280.0,164.0
11380510,녹번동,24.0,150.0,134.0,303.0,3086.0,985.0
11380520,불광1동,156.0,137.0,181.0,212.0,4139.0,1038.0
11380530,불광2동,12.0,84.0,56.0,144.0,1219.0,401.0
11380551,갈현1동,132.0,252.0,182.0,255.0,6112.0,1382.0
11380552,갈현2동,60.0,36.0,52.0,125.0,2296.0,527.0
11380560,구산동,0.0,12.0,99.0,278.0,1291.0,784.0
11380570,대조동,264.0,294.0,226.0,179.0,5141.0,1583.0
11380580,응암1동,135.0,204.0,243.0,289.0,6574.0,1620.0
11380590,응암2동,12.0,36.0,18.0,158.0,969.0,307.0
11380600,응암3동,209.0,231.0,24.0,77.0,1462.0,269.0
11380625,역촌동,0.0,96.0,261.0,240.0,4309.0,1356.0
11380631,신사1동,0.0,24.0,135.0,184.0,2283.0,728.0
11380632,신사2동,0.0,0.0,36.0,75.0,557.0,252.0
11380640,증산동,0.0,12.0,67.0,72.0,1707.0,410.0
11380650,수색동,0.0,48.0,48.0,95.0,1468.0,213.0
11380690,진관동,0.0,0.0,362.0,337.0,3366.0,2006.0
11410520,천연동,24.0,12.0,48.0,151.0,1889.0,408.0
11410555,북아현동,0.0,36.0,47.0,204.0,1337.0,477.0
11410565,충현동,0.0,36.0,71.0,204.0,4101.0,1043.0
11410585,신촌동,204.0,93.0,412.0,425.0,15440.0,5435.0
11410615,연희동,12.0,60.0,248.0,256.0,4474.0,1640.0
11410620,홍제1동,12.0,60.0,118.0,214.0,3040.0,781.0
11410640,홍제3동,12.0,48.0,24.0,82.0,1917.0,566.0
11410655,홍제2동,0.0,48.0,37.0,77.0,686.0,140.0
11410660,홍은1동,0.0,36.0,80.0,140.0,2335.0,468.0
11410685,홍은2동,12.0,24.0,48.0,132.0,1969.0,706.0
11410690,남가좌1동,84.0,174.0,84.0,84.0,2935.0,474.0
11410700,남가좌2동,0.0,12.0,66.0,126.0,2272.0,871.0
11410710,북가좌1동,0.0,36.0,45.0,129.0,1385.0,430.0
11410720,북가좌2동,0.0,60.0,93.0,81.0,1846.0,707.0
11440555,아현동,24.0,36.0,52.0,179.0,2429.0,558.0
11440565,공덕동,48.0,70.0,185.0,203.0,6049.0,1647.0
11440585,도화동,273.0,57.0,127.0,95.0,5116.0,920.0
11440590,용강동,63.0,68.0,117.0,166.0,3506.0,536.0
11440600,대흥동,120.0,80.0,124.0,174.0,4243.0,1222.0
11440610,염리동,0.0,0.0,36.0,108.0,1428.0,393.0
11440630,신수동,0.0,22.0,131.0,129.0,2150.0,802.0
11440655,서강동,0.0,0.0,194.0,171.0,6285.0,1209.0
11440660,서교동,216.0,429.0,625.0,142.0,31296.0,5880.0
11440680,합정동,0.0,68.0,146.0,96.0,6068.0,1437.0
11440690,망원1동,0.0,36.0,190.0,72.0,6068.0,1651.0
11440700,망원2동,0.0,22.0,29.0,48.0,1128.0,251.0
