자치구,행정동,행정동_코드,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인 이상 가구
동작구,사당4동,11590650,2651,1680,1155,826,168,30,0
동작구,사당5동,11590651,2007,1639,1330,892,178,41,5
동작구,대방동,11590660,6011,3524,3083,2746,573,107,27
동작구,신대방1동,11590670,3128,2203,1920,1732,361,81,14
동작구,신대방2동,11590680,3672,1943,1513,1278,303,67,16
동작구,흑석동,11590605,4562,3299,2886,2082,459,108,15
동작구,노량진1동,11590510,5604,3562,2550,1803,418,89,22
동작구,사당2동,11590630,3025,3208,2414,1598,357,70,15
관악구,보라매동,11620525,5182,2885,1806,1274,298,65,7
관악구,청림동,11620545,1403,1805,1466,998,189,53,14
관악구,행운동,11620575,9674,3386,1807,1170,285,61,7
관악구,낙성대동,11620585,6341,1856,894,556,148,27,9
관악구,중앙동,11620615,5565,1798,827,530,133,22,7
관악구,인헌동,11620625,6776,2981,1797,1273,295,46,18
관악구,남현동,11620630,3855,2226,1348,901,197,40,12
관악구,서원동,11620645,7607,2949,1388,742,176,49,10
관악구,신원동,11620655,5505,2382,1137,720,130,34,8
관악구,서림동,11620665,7735,2661,1391,891,228,44,17
관악구,신사동,11620685,7282,2547,1487,942,185,43,14
관악구,신사동,11680510,7282,2547,1487,942,185,43,14
관악구,신림동,11620695,11942,2439,714,334,81,16,0
관악구,난향동,11620715,1354,1594,1336,1100,263,73,17
관악구,조원동,11620725,5581,2004,1053,696,165,33,5
관악구,대학동,11620735,9718,2197,1239,734,172,43,6
관악구,은천동,11620605,5723,3860,2668,2015,439,113,19
관악구,성현동,11620565,3082,3139,2637,2151,458,82,12
관악구,청룡동,11620595,13435,3771,1841,1351,284,43,14
관악구,난곡동,11620775,4155,3289,2262,1575,335,88,20
관악구,삼성동,11620745,3132,2935,1958,1368,336,64,13
관악구,미성동,11620765,4186,3458,2615,1930,466,91,17
서초구,서초1동,11650510,3203,2036,1600,1271,277,89,22
서초구,서초2동,11650520,3238,1950,1572,1261,237,55,18
서초구,서초3동,11650530,4851,3292,2424,1823,411,97,30
서초구,서초4동,11650531,1529,2260,2724,2864,513,94,23
서초구,잠원동,11650540,2809,2363,2511,2195,387,65,22
서초구,반포본동,11650550,354,938,1049,1022,184,50,0
서초구,반포1동,11650560,5087,2498,2408,2337,504,109,34
서초구,반포2동,11650570,314,924,1323,1561,386,72,11
서초구,반포3동,11650580,910,1671,2105,1928,354,56,12
서초구,반포4동,11650581,1110,1685,1785,1411,326,68,19
서초구,방배본동,11650590,1683,1779,1724,1651,372,81,18
서초구,방배1동,11650600,2318,1952,1404,1013,222,46,18
서초구,방배2동,11650610,2182,2265,1675,1223,289,59,15
서초구,방배3동,11650620,1472,2128,1909,1519,293,65,21
서초구,방배4동,11650621,2585,2243,1904,1714,375,72,24
서초구,양재1동,11650651,4776,4394,3568,2881,883,194,50
서초구,양재2동,11650652,3938,2522,1618,1256,304,60,17
서초구,내곡동,11650660,1583,1967,1537,1161,276,80,20
강남구,신사동,11620685,2047,1744,1343,986,219,52,16
강남구,신사동,11680510,2047,1744,1343,986,219,52,16
강남구,논현1동,11680521,7121,2983,1242,705,175,39,12
강남구,논현2동,11680531,4618,2608,1590,996,199,56,12
강남구,삼성1동,11680580,1433,1380,1078,824,211,34,15
강남구,삼성2동,11680590,4236,2765,2329,2043,389,88,19
강남구,대치1동,11680600,350,1147,2101,2760,520,83,25
강남구,대치4동,11680630,4269,2117,1450,1111,231,51,8
강남구,역삼1동,11680640,12735,4551,1763,995,244,50,18
강남구,역삼2동,11680650,4735,2712,2924,2837,525,94,19
강남구,도곡1동,11680655,1872,1871,1933,1707,310,69,20
강남구,도곡2동,11680656,1408,2676,3076,2961,551,85,16
강남구,개포1동,11680660,550,654,528,474,95,23,0
강남구,개포4동,11680690,2280,2095,1717,1371,273,49,13
강남구,일원본동,11680720,923,1765,2119,2196,411,60,12
강남구,일원1동,11680730,2631,1839,1214,846,196,52,11
강남구,일원2동,11680740,1927,1899,1611,1205,206,24,0
강남구,수서동,11680750,3083,2453,1141,544,128,23,5
강남구,세곡동,11680700,4891,4233,3376,3042,933,204,60
강남구,압구정동,11680545,1822,2676,2384,1817,404,79,20
강남구,청담동,11680565,3203,2715,2211,1628,384,87,26
강남구,대치2동,11680610,1807,2567,3426,3446,623,85,18
강남구,개포2동,11680670,1058,2081,2147,1792,290,49,10
송파구,풍납1동,11710510,1869,1655,1172,854,171,45,10
송파구,풍납2동,11710520,2880,2485,2345,1672,338,75,12
송파구,거여1동,11710531,1396,1455,1096,848,172,39,16
송파구,거여2동,11710532,1883,2056,1516,1081,231,34,10
송파구,마천1동,11710540,2403,2291,1607,1164,354,60,20
송파구,마천2동,11710550,2296,2385,1656,1104,265,62,18
송파구,방이1동,11710561,1381,1383,1386,1275,251,60,16
송파구,방이2동,11710562,6641,3137,1826,1177,232,53,8
송파구,오륜동,11710566,361,1269,1745,1705,359,48,11
송파구,오금동,11710570,3077,4095,3616,2799,605,128,24
송파구,송파1동,11710580,4706,3041,1898,1263,304,57,14
송파구,송파2동,11710590,1242,1808,1833,1693,340,59,10
송파구,석촌동,11710600,6716,4047,2511,1609,333,78,22
송파구,삼전동,11710610,6327,3740,2417,1613,350,61,18
송파구,가락본동,11710620,3173,2907,2292,1737,387,63,17
송파구,가락1동,11710631,1255,2791,2785,2281,355,59,8
송파구,가락2동,11710632,2272,2817,3087,2716,468,98,24
송파구,문정1동,11710641,2134,2103,1754,1499,284,63,17
송파구,문정2동,11710642,7515,3321,1991,1440,251,58,14
송파구,장지동,11710646,2747,3237,2729,2106,486,92,11
송파구,위례동,11710647,1037,1943,2502,2715,697,122,25
송파구,잠실본동,11710650,6559,3414,2123,1391,296,53,14
송파구,잠실4동,11710690,669,1573,2129,1988,335,58,14
송파구,잠실6동,11710710,577,1523,1617,1359,285,67,18
송파구,잠실7동,11710720,302,980,961,739,147,21,6
송파구,잠실2동,11710670,1160,2117,3152,3848,598,105,18
송파구,잠실3동,11710680,1116,2930,3443,3027,563,85,22
강동구,강일동,11740515,2081,3046,2542,2572,861,150,25
강동구,상일동,nan,1441,2834,3130,2938,555,77,9
강동구,명일1동,11740530,1698,2646,2523,2001,371,64,12
강동구,명일2동,11740540,763,1238,1511,1638,317,53,16
강동구,고덕1동,11740550,1143,1701,2416,2546,450,80,16
강동구,고덕2동,11740560,1730,2175,2093,1770,291,45,0
강동구,암사2동,11740580,1481,1671,1452,1040,214,39,6
강동구,암사3동,11740590,707,1488,1698,1580,336,52,20
강동구,천호1동,11740600,3749,3350,2323,1546,343,80,10
강동구,천호3동,11740620,5205,3444,2034,1283,267,63,16
강동구,성내1동,11740640,1808,2038,1894,1433,273,51,16
강동구,성내2동,11740650,5143,3028,1845,1081,247,63,11
강동구,성내3동,11740660,3134,2613,1976,1442,318,54,17
강동구,둔촌1동,11740690,6,0,0,0,0,0,0
강동구,둔촌2동,11740700,2389,2763,2407,1924,380,61,16
강동구,암사1동,11740570,4551,4008,3064,2229,464,89,26
강동구,천호2동,11740610,6378,4433,2689,1710,380,84,27
강동구,길동,11740685,6909,5261,3850,2722,592,136,39
